sub_comp,mpid,reduced_formula
"['Li', 'S', 'Li', 1.0, 1.0, 2.0]",mp-1001784,Li3S
"['Li', 'S', 'B', 1.0, 1.0, 2.0]",mp-1001784,LiB2S
"['Li', 'S', 'C', 1.0, 1.0, 2.0]",mp-1001784,LiC2S
"['Li', 'S', 'N', 1.0, 1.0, 2.0]",mp-1001784,LiSN2
"['Li', 'S', 'O', 1.0, 1.0, 2.0]",mp-1001784,LiSO2
"['Li', 'S', 'F', 1.0, 1.0, 2.0]",mp-1001784,LiSF2
"['Li', 'S', 'Na', 1.0, 1.0, 2.0]",mp-1001784,Na2LiS
"['Li', 'S', 'Mg', 1.0, 1.0, 2.0]",mp-1001784,LiMg2S
"['Li', 'S', 'Al', 1.0, 1.0, 2.0]",mp-1001784,LiAl2S
"['Li', 'S', 'Si', 1.0, 1.0, 2.0]",mp-1001784,LiSi2S
"['Li', 'S', 'P', 1.0, 1.0, 2.0]",mp-1001784,LiP2S
"['Li', 'S', 'S', 1.0, 1.0, 2.0]",mp-1001784,LiS3
"['Li', 'S', 'Cl', 1.0, 1.0, 2.0]",mp-1001784,LiSCl2
"['Li', 'S', 'Ca', 1.0, 1.0, 2.0]",mp-1001784,LiCa2S
"['Li', 'S', 'Zn', 1.0, 1.0, 2.0]",mp-1001784,LiZn2S
"['Li', 'S', 'Ga', 1.0, 1.0, 2.0]",mp-1001784,LiGa2S
"['Li', 'S', 'Ge', 1.0, 1.0, 2.0]",mp-1001784,LiGe2S
"['Li', 'S', 'As', 1.0, 1.0, 2.0]",mp-1001784,LiAs2S
"['Li', 'S', 'Se', 1.0, 1.0, 2.0]",mp-1001784,LiSe2S
"['Li', 'S', 'Sr', 1.0, 1.0, 2.0]",mp-1001784,Sr2LiS
"['Li', 'S', 'Cd', 1.0, 1.0, 2.0]",mp-1001784,LiCd2S
"['Li', 'S', 'In', 1.0, 1.0, 2.0]",mp-1001784,LiIn2S
"['Li', 'S', 'Sn', 1.0, 1.0, 2.0]",mp-1001784,LiSn2S
"['Li', 'S', 'Te', 1.0, 1.0, 2.0]",mp-1001784,LiTe2S
"['Li', 'S', 'I', 1.0, 1.0, 2.0]",mp-1001784,LiSI2
"['Li', 'S', 'Ba', 1.0, 1.0, 2.0]",mp-1001784,Ba2LiS
"['Li', 'S', 'Hg', 1.0, 1.0, 2.0]",mp-1001784,LiHg2S
"['Li', 'S', 'Pb', 1.0, 1.0, 2.0]",mp-1001784,LiPb2S
