pretty_formula,composition
LiCaS2,Li1Ca1S2
LiC2S3,Li1C2S3
LiB2S,Li1B2S1
LiBS2,Li1B1S2
LiMg3S2,Li1Mg3S2
Li3PbS2,Li3Pb1S2
LiSN2,Li1S1N2
LiGa3S2,Li1Ga3S2
LiAs2S,Li1As2S1
LiS2O,Li1S2O1
Li2CaS,Li2Ca1S1
Li3Al2S,Li3Al2S1
LiS2Cl3,Li1S2Cl3
Li3SI2,Li3S1I2
LiHg3S2,Li1Hg3S2
Na2LiS,Na2Li1S1
Li3Ga2S,Li3Ga2S1
LiSe2S3,Li1Se2S3
NaLi3S2,Na1Li3S2
LiPb3S2,Li1Pb3S2
Li2SCl,Li2S1Cl1
LiGa2S3,Li1Ga2S3
LiC3S2,Li1C3S2
LiAl2S,Li1Al2S1
LiS2N,Li1S2N1
Ba2Li3S,Ba2Li3S1
LiSF,Li1S1F1
Ba2LiS3,Ba2Li1S3
Li2CS,Li2C1S1
Li2GaS,Li2Ga1S1
LiS3,Li1S3
LiSCl,Li1S1Cl1
LiCdS,Li1Cd1S1
LiHg2S3,Li1Hg2S3
LiCdS2,Li1Cd1S2
Li3C2S,Li3C2S1
LiAsS2,Li1As1S2
BaLi3S2,Ba1Li3S2
LiAl2S3,Li1Al2S3
LiS,Li1S1
LiS2O3,Li1S2O3
LiGe3S2,Li1Ge3S2
LiS2Cl,Li1S2Cl1
Na3LiS2,Na3Li1S2
Sr2LiS3,Sr2Li1S3
LiZn2S,Li1Zn2S1
LiAs3S2,Li1As3S2
LiSi3S2,Li1Si3S2
Li3In2S,Li3In2S1
LiCd3S2,Li1Cd3S2
Li2CdS,Li2Cd1S1
Li2SnS,Li2Sn1S1
Li3InS2,Li3In1S2
Li2BS,Li2B1S1
LiMg2S,Li1Mg2S1
NaLiS2,Na1Li1S2
Li3BS2,Li3B1S2
LiS3I2,Li1S3I2
Li5S,Li5S1
LiPS2,Li1P1S2
Li3SnS2,Li3Sn1S2
Li3SeS2,Li3Se1S2
LiMgS,Li1Mg1S1
LiHgS2,Li1Hg1S2
Li3Sn2S,Li3Sn2S1
