id,composition,roost_ensemble_mean
0,Li2Zn2S1,-0.4699718117713928
1,Na1Li6S4,-1.3615498781204223
2,Li17Se6S5,-1.4182212471961975
3,Li1Se2S1,-0.7174154281616211
4,Li2C19S15,0.18356941938400267
5,Na5Li1S2,-0.9680610418319702
6,Li3Hg8S5,-0.3954272627830505
7,Li2Mg6S1,-0.25267136096954346
8,Sr6Li2S1,-0.316490375995636
9,Li2Pb6S1,-0.258568799495697
10,Li1P2S1,-0.6206398963928222
11,Li7S5,-1.3210143208503724
12,Li2Si19S15,-0.6535561084747314
13,Li17Mg5S6,-0.8592253208160401
14,Li1C5S2,0.12014999389648437
15,Li6Pb1S4,-1.3555851578712463
16,Li1Ga1S2,-1.2815327882766723
17,Li1Hg5S2,-0.1894629716873169
18,Li6In1S4,-1.3453781366348267
19,Li1S2,-0.9019704401493073
20,Ba1Li2S2,-1.8373030304908753
21,Li6Zn1S4,-1.424084222316742
22,Li17Se5S6,-1.4312585711479187
23,Li2In15S19,-0.8939736127853394
24,Li6Sn1S4,-1.2969400763511658
25,Li1Se5S2,-0.45798160433769225
26,Li1S5N2,-0.22168998718261718
27,Li2Sn1S6,-0.8443071365356445
28,Li2Ca2S1,-0.8144397914409638
29,Li2Zn19S15,-0.9501490294933319
30,Li17Cd6S5,-0.643694806098938
31,Li6Mg4S1,-0.3003156304359436
32,Li2S19I15,-0.2750898480415344
33,Li1Al5S2,-0.5719046294689178
34,Li17B5S6,-0.5464530348777771
35,Sr1Li6S4,-1.678688156604767
36,Li2Si2S1,-0.559406042098999
37,Li2Ga15S19,-1.0722573280334473
38,Li1S1,-1.1644508719444275
39,Sr2Li1S1,-0.9540938615798951
40,Li6Pb4S1,-0.47244885563850403
41,Li2Mg15S19,-1.2812563061714173
42,Li6As4S1,-0.6649749577045441
43,Li3S13,-0.5953136563301087
44,Li1Cd1S2,-0.9672273993492126
45,Li2Si1S6,-0.942711877822876
46,Na6Li17S5,-0.6089877724647522
47,Li3Cd5S8,-0.943926727771759
48,Li1Ge5S2,-0.3531635642051697
49,Li6S4O1,-1.0802648544311524
50,Li2Te2S1,-0.9159542500972748
51,Li2S15N19,0.09072052240371704
52,Li2Se1S6,-0.7862880945205688
53,Li1S2O5,-1.8089277505874635
54,Li1Te1S2,-0.7363585770130158
55,Li1S2Cl1,-1.05001699924469
56,Li1S5F2,-1.0489684998989106
57,Li1Cd5S2,-0.37593595385551454
58,Li23S5,-0.7530448794364929
59,Li2Se6S1,-0.7102350056171417
60,Li3S1,-1.2253588080406188
61,Li2C15S19,0.03432530164718629
62,Li1S2I5,-0.24480689764022823
63,Li2P1S2,-1.0813189506530763
64,Li6S4F1,-1.4346763849258424
65,Li2Zn1S6,-0.7638560771942139
66,Li1Se1S2,-0.6809826493263245
67,Ba6Li17S5,-0.7283989071846009
68,Li2B6S1,-0.4154757022857666
69,Li1S2N1,-0.1967202067375183
70,Li2Te15S19,-0.31079586744308474
71,Li3Te8S5,-0.5087599992752075
72,Li2Pb15S19,-0.7872069895267486
73,Li3C5S8,-0.377725750207901
74,Li6S4Cl1,-1.2507230639457703
75,Li17Hg6S5,-0.6225150763988495
76,Li1As1S2,-0.8558574616909027
77,Li2S1F2,-2.0772515296936036
78,Li1P5S2,-0.45640806555747987
79,Li6Sn4S1,-0.5311174929141999
80,Ba1Li6S4,-1.6668752312660218
81,Li3S5N8,-0.19355939626693724
82,Li2Sn2S1,-0.6465019524097443
83,Li2Al19S15,-1.0974605321884154
84,Li2In2S1,-0.6126601159572601
85,Li3Si8S5,-0.6049818813800811
86,Li2P2S1,-0.7142254710197449
87,Li2S1Cl6,-1.25031316280365
88,Na1Li2S2,-1.1343493938446045
89,Li1Ga2S5,-0.8821516036987305
90,Li6S1Cl4,-1.856922447681427
91,Li2C6S1,-0.09436192512512201
92,Li1In2S5,-0.7064818680286408
93,Li2S15O19,-1.2678574442863464
94,Li6Ge4S1,-0.5052202045917511
95,Li17S6F5,-1.938293981552124
96,Li2Cd2S1,-0.46666128635406495
97,Sr19Li2S15,-1.9617083549499512
98,Li6As1S4,-1.2641723513603211
99,Li1S1O2,-1.9396547436714173
100,Li3Mg5S8,-1.3312228739261627
101,Li2As15S19,-0.47897627353668215
102,Ba4Li6S1,-0.35449344515800474
103,Li2Se15S19,-0.2273029327392578
104,Li2S3,-1.0163896322250365
105,Li1Ga2S1,-0.6492023706436157
106,Li2S1I2,-0.7443111062049865
107,Li2Cd15S19,-0.7964597642421722
108,Ba5Li1S2,-0.7898288607597351
109,Li3Pb5S8,-0.9407253444194794
110,Li3In5S8,-1.0956785917282104
111,Li3Sn5S8,-0.9722722887992858
112,Li2S1I6,-0.6635486662387848
113,Li3Te5S8,-0.5858160614967346
114,Sr5Li3S8,-1.8867095470428468
115,Li17S6N5,-0.9209981620311737
116,Li3C8S5,-0.1063886284828186
117,Ba5Li17S6,-0.9436446607112885
118,Li2Sn6S1,-0.3276692509651184
119,Li2Te6S1,-0.5799030184745788
120,Li2S1Cl2,-1.1205932438373565
121,Na1Li2S6,-0.8243413209915161
122,Na5Li17S6,-0.8941127836704255
123,Li17S5N6,-0.8676721751689911
124,Li2P6S1,-0.44518985152244567
125,Li2S6O1,-0.7792156040668488
126,Li17Te5S6,-1.2951082944869996
127,Li17S6O5,-1.4831804513931275
128,Li1In1S2,-1.1689158082008362
129,Li2Pb19S15,-0.7487529158592224
130,Li17S5I6,-1.3589598655700683
131,Li1Sn2S5,-0.7911769032478333
132,Li6S4N1,-0.7777552247047425
133,Sr6Li17S5,-0.7488767683506012
134,Li2S15I19,-0.15177954435348512
135,Li1Si2S1,-0.5255514681339264
136,Li3S5F8,-1.9199392199516296
137,Li6Ca4S1,-0.3808955073356628
138,Li2Ca19S15,-1.9130298495292664
139,Li1Si2S5,-1.043035751581192
140,Li1B2S5,-0.8461812674999237
141,Li2S19F15,-1.390809327363968
142,Sr1Li1S2,-1.7119148969650269
143,Li1Ge2S5,-0.78820641040802
144,Li1B1S2,-1.0486808657646178
145,Li1Pb2S5,-0.6557509660720825
146,Sr5Li17S6,-0.9676158010959626
147,Li2As1S2,-1.0559314012527465
148,Li3In8S5,-0.6866211056709289
149,Li3Ga8S5,-0.7688181757926941
150,Li17Si6S5,-0.7179099380970001
151,Li6Al1S4,-1.5102204084396362
152,Li3Se8S5,-0.5390855550765992
153,Li1Cd2S5,-0.6498791873455048
154,Li3Ga5S8,-1.233464813232422
155,Li1S2I1,-0.6444157123565674
156,Li17In6S5,-0.7509065330028534
157,Li1Sn5S2,-0.43508943915367126
158,Na2Li1S5,-0.8280410528182983
159,Li3Ca8S5,-1.2398582220077514
160,Li2P1S6,-0.8854409992694855
161,Li17Sn6S5,-0.7973759829998016
162,Li2Zn15S19,-0.9509970068931579
163,Li6Hg1S4,-1.2633333683013916
164,Li17S19,-1.127234971523285
165,Li1Pb1S2,-1.000744205713272
166,Li3As5S8,-0.7315765142440795
167,Li1S1N2,-0.2760402798652649
168,Li1Mg1S2,-1.2631969213485719
169,Li1P2S5,-0.7146144509315491
170,Li3S8F5,-1.3446943581104278
171,Li1In2S1,-0.5828475177288055
172,Li3S2,-1.3770461916923522
173,Li3P5S8,-0.8031854271888733
174,Li3Ge8S5,-0.6018209338188172
175,Ba2Li1S5,-1.3180996537208558
176,Li1Ge1S2,-1.0543221652507782
177,Li1Te2S1,-0.6026223003864288
178,Li2B2S1,-0.29899481534957884
179,Sr15Li2S19,-1.9911182522773743
180,Li1Sn2S1,-0.6076092481613159
181,Li6P1S4,-1.288950765132904
182,Li6Ge1S4,-1.3333711624145508
183,Li1C2S1,-0.20625931024551386
184,Li2Si6S1,-0.2037629127502441
185,Li6Te4S1,-1.0754565834999084
186,Li6S1I4,-1.3135873317718505
187,Li6Hg4S1,-0.43644453287124635
188,Li1As5S2,-0.36254286766052246
189,Li6P4S1,-0.6547811686992645
190,Li17Te6S5,-1.261228895187378
191,Li3Al5S8,-1.5261734962463378
192,Sr8Li3S5,-1.2636202454566956
193,Li2Al15S19,-1.4089293241500855
194,Li2Hg6S1,-0.1493784427642822
195,Sr5Li1S2,-0.8235183715820312
