id,composition,target
0,Na1Li6S4,0
1,Li17Se6S5,0
2,Li1Se2S1,0
3,Na5Li1S2,0
4,Li3Hg8S5,0
5,Li1P2S1,0
6,Li7S5,0
7,Li2Si19S15,0
8,Li17Mg5S6,0
9,Li6Pb1S4,0
10,Li1Ga1S2,0
11,Li6In1S4,0
12,Li1S2,0
13,Ba1Li2S2,0
14,Li6Zn1S4,0
15,Li17Se5S6,0
16,Li2In15S19,0
17,Li6Sn1S4,0
18,Li1Se5S2,0
19,Li2Sn1S6,0
20,Li2Ca2S1,0
21,Li2Zn19S15,0
22,Li6Mg4S1,0
23,Li2S19I15,0
24,Li1Al5S2,0
25,Sr1Li6S4,0
26,Li2Ga15S19,0
27,Li1S1,0
28,Li6Pb4S1,0
29,Li6As4S1,0
30,Li3S13,0
31,Li1Cd1S2,0
32,Li2Si1S6,0
33,Na6Li17S5,0
34,Li3Cd5S8,0
35,Li1Ge5S2,0
36,Li2Te2S1,0
37,Li2Se1S6,0
38,Li1S2O5,0
39,Li1Te1S2,0
40,Li1S2Cl1,0
41,Li1S5F2,0
42,Li23S5,0
43,Li2Se6S1,0
44,Li3S1,0
45,Li1S2I5,0
46,Li2P1S2,0
47,Li2Zn1S6,0
48,Li1Se1S2,0
49,Ba6Li17S5,0
50,Li2B6S1,0
51,Li2Te15S19,0
52,Li3Te8S5,0
53,Li2Pb15S19,0
54,Li6S4Cl1,0
55,Li1As1S2,0
56,Li1P5S2,0
57,Li6Sn4S1,0
58,Ba1Li6S4,0
59,Li2Al19S15,0
60,Li3Si8S5,0
61,Li2P2S1,0
62,Li2S1Cl6,0
63,Li1Ga2S5,0
64,Li6S1Cl4,0
65,Li1In2S5,0
66,Li6Ge4S1,0
67,Li17S6F5,0
68,Sr19Li2S15,0
69,Li6As1S4,0
70,Li1S1O2,0
71,Li3Mg5S8,0
72,Li2As15S19,0
73,Ba4Li6S1,0
74,Li2Se15S19,0
75,Li2S3,0
76,Li1Ga2S1,0
77,Li2Cd15S19,0
78,Li3Pb5S8,0
79,Li3In5S8,0
80,Li3Sn5S8,0
81,Li2S1I6,0
82,Li3Te5S8,0
83,Sr5Li3S8,0
84,Li17S6N5,0
85,Ba5Li17S6,0
86,Li2Sn6S1,0
87,Li2Te6S1,0
88,Na1Li2S6,0
89,Na5Li17S6,0
90,Li17S5N6,0
91,Li2P6S1,0
92,Li17Te5S6,0
93,Li1In1S2,0
94,Li2Pb19S15,0
95,Li17S5I6,0
96,Li1Sn2S5,0
97,Sr6Li17S5,0
98,Li2S15I19,0
99,Li3S5F8,0
100,Li6Ca4S1,0
101,Li2Ca19S15,0
102,Li1Si2S5,0
103,Li1B2S5,0
104,Li2S19F15,0
105,Sr1Li1S2,0
106,Li1Ge2S5,0
107,Li1B1S2,0
